Molocule,Wave_Number,Intensity ,A,gamma_air,gamma self,E'',n-air,delta - air,J',"J"""
12CH4,1244.46545,5.75E-26,0.06537,0.044,0.065,2558.9021,0.65,-0.002,15,15
12CH4,1244.484,2.35E-25,2.971,0.06,0.076,2875.793,0.7,-0.002,6,7
12CH4,1244.49405,2.62E-23,1.915,0.058,0.074,1765.9297,0.67,-0.002,8,9
12CH4,1244.49813,2.21E-25,0.007007,0.066,0.078,1463.043,0.75,-0.002,4,5
12CH4,1244.53176,1.05E-26,0.005107,0.045,0.073,2115.3064,0.67,-0.002,10,10
12CH4,1244.55022,3.88E-27,0.0003224,0.058,0.074,1919.6833,0.67,-0.002,9,8
12CH4,1244.59,1.49E-30,8.54E-05,0.041,0.055,3362.2373,0.57,-0.002,25,25
12CH4,1244.65539,1.05E-26,0.003398,0.054,0.073,2115.2581,0.67,-0.002,10,10
12CH4,1244.65607,5.94E-26,0.007327,0.054,0.07,1935.417,0.65,-0.002,11,11
12CH4,1244.66692,2.87E-27,0.0002988,0.054,0.073,1881.548,0.67,-0.002,10,10
12CH4,1244.6719,4.20E-27,0.007034,0.051,0.067,2489.0046,0.65,-0.002,12,13
12CH4,1244.69025,6.75E-24,0.4123,0.058,0.074,1728.5957,0.67,-0.002,8,9
12CH4,1244.79569,2.61E-25,0.009352,0.066,0.078,1488.3091,0.75,-0.002,4,5
12CH4,1244.8006,1.17E-27,0.001959,0.051,0.067,2489.0051,0.65,-0.002,12,13
12CH4,1244.855,2.07E-27,0.04162,0.049,0.06,3081.0913,0.63,-0.002,18,18
12CH4,1244.879,1.90E-25,6.09,0.06,0.076,2962.3078,0.7,-0.002,6,7
12CH4,1244.88823,2.98E-27,0.0001043,0.064,0.077,1558.5002,0.72,-0.002,6,6
12CH4,1244.8998,5.05E-26,0.001506,0.066,0.078,1491.3219,0.75,-0.002,5,5
12CH4,1244.90844,1.01E-25,0.0109,0.054,0.073,1867.663,0.67,-0.002,9,10
12CH4,1244.932,3.80E-25,3.979,0.061,0.077,2802.3071,0.7,-0.002,5,6
12CH4,1244.93524,1.47E-27,0.000489,0.052,0.074,2016.1746,0.67,-0.002,9,9
12CH4,1244.9902,1.19E-27,0.003152,0.047,0.065,2613.6404,0.65,-0.002,14,15
12CH4,1245.02381,4.41E-26,0.008157,0.045,0.07,1935.272,0.65,-0.002,11,11
12CH4,1245.02856,7.90E-27,0.002547,0.054,0.073,2114.0896,0.67,-0.002,10,10
12CH4,1245.05624,1.04E-22,4.069,0.058,0.075,1716.0927,0.72,-0.002,7,8
12CH4,1245.091,3.90E-25,0.0001132,0.053,0.068,690.0176,0.64,0,11,11
